"Date","Price","Open","High","Low","Vol.","Change %"
"03/30/2023","43.609","42.460","44.250","42.250","30.66K","1.88%"
"03/29/2023","42.803","43.280","45.425","41.950","68.50K","0.12%"
"03/28/2023","42.752","41.990","43.690","40.760","68.18K","0.53%"
"03/27/2023","42.528","40.900","43.365","40.900","58.47K","3.49%"
"03/24/2023","41.094","42.995","43.455","40.705","63.82K","-4.84%"
"03/23/2023","43.186","40.000","44.100","40.000","63.78K","8.04%"
"03/22/2023","39.974","41.000","42.965","39.650","60.90K","-5.72%"
"03/21/2023","42.400","39.000","43.255","37.700","64.76K","7.82%"
"03/20/2023","39.325","42.000","42.000","38.750","67.89K","-8.24%"
"03/17/2023","42.857","44.300","46.460","41.900","59.45K","-3.35%"
"03/16/2023","44.341","43.250","45.230","41.800","59.48K","3.35%"
"03/15/2023","42.905","45.000","45.400","42.290","52.52K","-2.90%"
"03/14/2023","44.185","48.205","48.205","43.910","63.20K","-10.89%"
"03/13/2023","49.584","52.000","53.460","48.000","84.32K","-6.19%"
"03/10/2023","52.857","47.000","54.450","45.250","92.19K","21.23%"
"03/09/2023","43.599","41.390","47.775","40.500","68.41K","2.98%"
"03/08/2023","42.339","43.900","45.250","41.555","49.59K","-2.38%"
"03/07/2023","43.370","43.250","43.915","41.675","42.21K","2.90%"
"03/06/2023","42.149","44.550","45.000","41.390","64.84K","-6.29%"
"03/03/2023","44.980","46.000","46.600","44.550","54.54K","-3.92%"
"03/02/2023","46.815","47.975","48.695","46.500","52.27K","-0.57%"
"03/01/2023","47.084","47.400","48.370","46.650","51.49K","0.90%"
"02/28/2023","46.665","47.700","48.650","46.145","47.97K","-1.34%"
"02/27/2023","47.299","51.000","51.000","46.855","41.73K","-7.28%"
"02/24/2023","51.013","50.900","52.950","50.580","45.18K","0.46%"
"02/23/2023","50.780","49.740","51.500","49.280","42.75K","0.42%"
"02/22/2023","50.568","49.625","51.000","49.000","44.17K","4.17%"
"02/21/2023","48.542","49.900","50.250","47.700","46.16K","-2.67%"
"02/20/2023","49.874","50.555","51.850","48.785","40.12K","1.69%"
"02/17/2023","49.047","51.555","51.555","48.100","51.89K","-5.70%"
"02/16/2023","52.011","54.000","54.600","51.500","44.55K","-4.94%"
"02/15/2023","54.716","52.900","55.100","52.500","38.09K","4.45%"
"02/14/2023","52.386","52.190","53.695","51.500","50.16K","1.31%"
